0.20 1 F= -.34228897E+01 E0= -.34196813E+01 d E =-.641680E-02
0.19 1 F= -.34225777E+01 E0= -.34197102E+01 d E =-.573500E-02
0.18 1 F= -.34222843E+01 E0= -.34197352E+01 d E =-.509823E-02
0.17 1 F= -.34220089E+01 E0= -.34197556E+01 d E =-.450662E-02
0.16 1 F= -.34217511E+01 E0= -.34197712E+01 d E =-.395992E-02
0.15 1 F= -.34215104E+01 E0= -.34197816E+01 d E =-.345747E-02
0.14 1 F= -.34212860E+01 E0= -.34197870E+01 d E =-.299812E-02
0.13 1 F= -.34210775E+01 E0= -.34197874E+01 d E =-.258013E-02
0.12 1 F= -.34208842E+01 E0= -.34197836E+01 d E =-.220111E-02
0.11 1 F= -.34207056E+01 E0= -.34197766E+01 d E =-.185797E-02
0.10 1 F= -.34205413E+01 E0= -.34197677E+01 d E =-.154706E-02
0.09 1 F= -.34203912E+01 E0= -.34197590E+01 d E =-.126439E-02
0.08 1 F= -.34202555E+01 E0= -.34197524E+01 d E =-.100616E-02
0.07 1 F= -.34201352E+01 E0= -.34197506E+01 d E =-.769309E-03
0.06 1 F= -.34200322E+01 E0= -.34197561E+01 d E =-.552190E-03
0.05 1 F= -.34199495E+01 E0= -.34197715E+01 d E =-.355887E-03
0.04 1 F= -.34198914E+01 E0= -.34197978E+01 d E =-.187086E-03
0.03 1 F= -.34198620E+01 E0= -.34198305E+01 d E =-.629480E-04
0.02 1 F= -.34198576E+01 E0= -.34198547E+01 d E =-.582996E-05
